species_id,species,course_name,order,family,image_id,stage,role,quiz_default,file,pixels,author,source,source_page,license,license_url,source_batch,notes
frankliniella_occidentalis,Frankliniella occidentalis,Frankliniella occidentalis,Thysanoptera,Thripidae,frankliniella_occidentalis_adult_01,adult,primary_context,True,assets/insects/thysanoptera/frankliniella_occidentalis_adult_01.webp,1200x1053,Jesse Rorabaugh,Wikimedia Commons / iNaturalist,https://commons.wikimedia.org/wiki/File:Frankliniella_occidentalis_14827630.jpg,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,thysanoptera_batch_01,Adulto su fiore con scala da 1 mm.
frankliniella_occidentalis,Frankliniella occidentalis,Frankliniella occidentalis,Thysanoptera,Thripidae,frankliniella_occidentalis_adult_02,adult,diagnostic_closeup,True,assets/insects/thysanoptera/frankliniella_occidentalis_adult_02.webp,1200x723,"Frank Peairs, Colorado State University, Bugwood.org",Wikimedia Commons / Bugwood,https://commons.wikimedia.org/wiki/File:Frankliniella_occidentalis_5364132-LGPT.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,thysanoptera_batch_01,Adulto in macro; utile per forma generale e ali.
frankliniella_occidentalis,Frankliniella occidentalis,Frankliniella occidentalis,Thysanoptera,Thripidae,frankliniella_occidentalis_juvenile_01,juvenile,juvenile,True,assets/insects/thysanoptera/frankliniella_occidentalis_juvenile_01.webp,786x523,"Whitney Cranshaw, Colorado State University",USDA NAL i5k / Bugwood,https://i5k.nal.usda.gov/organism/836537,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,thysanoptera_batch_01,Stadio giovanile; la pagina USDA accredita l’immagine a Whitney Cranshaw con licenza CC BY.
thrips_tabaci,Thrips tabaci,Thrips tabaci,Thysanoptera,Thripidae,thrips_tabaci_adult_01,adult,diagnostic_isolated,True,assets/insects/thysanoptera/thrips_tabaci_adult_01.webp,261x529,"Alton N. Sparks, Jr., University of Georgia, Bugwood.org",Wikimedia Commons / Bugwood,https://commons.wikimedia.org/wiki/File:Thrips_tabaci.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,thysanoptera_batch_01,Adulto isolato; risoluzione originale modesta ma leggibile.
thrips_tabaci,Thrips tabaci,Thrips tabaci,Thysanoptera,Thripidae,thrips_tabaci_juvenile_01,juvenile,juvenile_context,True,assets/insects/thysanoptera/thrips_tabaci_juvenile_01.webp,768x512,"Whitney Cranshaw, Colorado State University, Bugwood.org",Bugwood / CABI reference,https://www.invasive.org/browse/detail.cfm?imgnum=1243058,CC BY 3.0 US,https://creativecommons.org/licenses/by/3.0/us/,thysanoptera_batch_01,Neanidi su foglia di cipolla; mantenere il contesto vegetale.
aphis_pomi,Aphis pomi,Aphis pomi,Hemiptera,Aphididae,aphis_pomi_colony_01,colony,primary_context,True,assets/insects/hemiptera/aphis_pomi_colony_01.webp,1024x683,InfluentialPoints,InfluentialPoints / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Aphis_pomi_colony_on_crab_apple_in_East_Sussex.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,hemiptera_batch_03_aleyrodidae_aphididae,Colonia su melo; molto utile per riconoscimento contestuale.
bemisia_tabaci,Bemisia tabaci,Bemisia tabaci,Hemiptera,Aleyrodidae,bemisia_tabaci_adult_01,adult,primary_diagnostic,True,assets/insects/hemiptera/bemisia_tabaci_adult_01.webp,1400x850,Stephen Ausmus,USDA Agricultural Research Service / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Bemisia_tabaci_from_USDA_2.jpg,Public domain (USDA ARS),https://commons.wikimedia.org/wiki/File:Bemisia_tabaci_from_USDA_2.jpg,hemiptera_batch_03_aleyrodidae_aphididae,Adulti in macro. Fonte federale USA; pubblico dominio.
bemisia_tabaci,Bemisia tabaci,Bemisia tabaci,Hemiptera,Aleyrodidae,bemisia_tabaci_adult_02,adult,context,True,assets/insects/hemiptera/bemisia_tabaci_adult_02.webp,1400x788,Wee Hong,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Bemisia_tabaci_under_leaf_of_eggplant.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,hemiptera_batch_03_aleyrodidae_aphididae,Adulto sulla pagina inferiore di foglia di melanzana.
bemisia_tabaci,Bemisia tabaci,Bemisia tabaci,Hemiptera,Aleyrodidae,bemisia_tabaci_nymph_01,nymph,juvenile,True,assets/insects/hemiptera/bemisia_tabaci_nymph_01.webp,1270x1126,CSIRO,CSIRO ScienceImage / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:CSIRO_ScienceImage_1489_Silverleaf_whitefly_Bemisia_tabaci_biotype_B.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,hemiptera_batch_03_aleyrodidae_aphididae,Ninfe sulla pagina inferiore di una foglia.
bemisia_tabaci,Bemisia tabaci,Bemisia tabaci,Hemiptera,Aleyrodidae,bemisia_tabaci_puparium_01,puparium,juvenile_diagnostic,False,assets/insects/hemiptera/bemisia_tabaci_puparium_01.webp,396x380,Gabriel TERRAZ,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Puparium_of_Bemisia_tabaci.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,hemiptera_batch_03_aleyrodidae_aphididae,"Pupario su peperone dolce; originale di risoluzione modesta, non ingrandito."
