id,course_name,scientific_name,common_name_it,order,suborder,superfamily,family,aliases,taxonomy_notes,image_count,recognition_cues,recognition_note
frankliniella_occidentalis,Frankliniella occidentalis,Frankliniella occidentalis,Tripide occidentale dei fiori / tripide californiano,Thysanoptera,,,Thripidae,,,3,"Adulto molto piccolo e allungato, con colorazione molto variabile dal giallastro al bruno. | Ali anteriori strettissime e frangiate; nelle foto macro il corpo appare più robusto di Thrips tabaci. | Antenne di 8 articoli e disposizione delle setole del capo/pronoto sono caratteri diagnostici da osservare con ingrandimento.",Attenzione: la conferma di specie nei tripidi richiede spesso caratteri microscopici; colore e fotografia da soli non sono sempre sufficienti.
thrips_tabaci,Thrips tabaci,Thrips tabaci,Tripide della cipolla,Thysanoptera,,,Thripidae,,,2,"Tripide piccolo e molto slanciato, di solito giallo, giallo-bruno o bruno chiaro. | Ali strette e frangiate; l'adulto tende ad avere un aspetto più sottile e uniforme rispetto a Frankliniella occidentalis. | Le antenne hanno 7 articoli: è un carattere utile soprattutto con forte ingrandimento.",La distinzione certa da altri tripidi può richiedere preparato microscopico; l'ospite e il contesto aiutano ma non sostituiscono i caratteri tassonomici.
aphis_pomi,Aphis pomi,Aphis pomi,Afide verde del melo,Hemiptera,Sternorrhyncha,Aphidoidea,Aphididae,,,1,"Afide tipicamente verde brillante, spesso riunito in colonie sui giovani germogli di melo. | Sifoni (cornicoli) e cauda sono scuri/nerastri e contrastano con il corpo verde. | Le colonie producono melata e sono spesso frequentate dalle formiche.","Il verde vivo sul melo è un buon indizio, ma gli afidi possono richiedere caratteri fini per la conferma tassonomica."
bemisia_tabaci,Bemisia tabaci,Bemisia tabaci,Mosca bianca del tabacco / aleurodide,Hemiptera,Sternorrhyncha,Aleyrodoidea,Aleyrodidae,,,4,"Adulto minuscolo con corpo giallastro e ali bianche cerose. | Le ali sono tenute piuttosto inclinate e aderenti ai lati del corpo, dando una sagoma stretta; spesso resta visibile una striscia del corpo giallo. | Gli stadi fissi sono ovali e appiattiti sulla pagina inferiore delle foglie; il 'pupario' può cambiare aspetto in funzione dell'ospite.","Il confronto con Trialeurodes vaporariorum è utile, ma la conferma del pupario richiede ingrandimento e caratteri microscopici."
cacopsylla_melanoneura,Cacopsylla melanoneura,Cacopsylla melanoneura,Psilla del melo,Hemiptera,Sternorrhyncha,Psylloidea,Psyllidae,,,2,"Psilla minuta con lunghe antenne, zampe posteriori da salto e ali trasparenti tenute a tetto. | Gli adulti maturi sono spesso bruno-scuro; gli individui giovani possono essere più chiari o verdastri. | È tipicamente associata a melo e biancospino.",È una specie difficile da confermare fotograficamente: per separarla da psille simili sono spesso necessari terminalia e altri caratteri fini.
cacopsylla_picta,Cacopsylla picta,Cacopsylla picta,Psilla del melo,Hemiptera,Sternorrhyncha,Psylloidea,Psyllidae,Cacopsylla costalis,Cacopsylla costalis è un sinonimo utile da riconoscere.,2,"Psilla del melo con ali ialine a tetto, lunghe antenne e silhouette slanciata. | Gli adulti possono variare dal giallo-ocra al bruno-rossastro. | L'associazione con il melo è utile per orientarsi, soprattutto nel periodo primaverile.",La sola colorazione non basta: la separazione da altre Cacopsylla richiede spesso caratteri morfologici fini.
cacopsylla_pruni,Cacopsylla pruni,Cacopsylla pruni,Psilla del susino,Hemiptera,Sternorrhyncha,Psylloidea,Psyllidae,,,1,"Piccola psilla con ali trasparenti a tetto e lunghe antenne, spesso bruno-arancio nell'adulto. | Durante la stagione vegetativa è associata soprattutto a Prunus, come susino e albicocco. | Le zampe posteriori robuste e la postura da psilla la distinguono bene dagli afidi.",La determinazione fotografica a livello di specie è difficile; ospite e caratteri specialistici sono importanti.
cacopsylla_pyri,Cacopsylla pyri,Cacopsylla pyri,Psilla comune del pero,Hemiptera,Sternorrhyncha,Psylloidea,Psyllidae,,,3,"Psilla del pero con ali trasparenti a tetto e corpo piccolo, slanciato, saltatore. | Presenta forme stagionali: gli adulti estivi sono più chiari/giallo-arancio, quelli svernanti più scuri. | Le ninfe sono appiattite, giallastre o aranciate e spesso immerse in abbondante melata sul pero.","C. pyri può essere molto simile a C. pyricola; per un'identificazione certa possono servire caratteri del capo, delle ali e dei genitali."
cacopsylla_pyricola,Cacopsylla pyricola,Cacopsylla pyricola,Psilla del pero,Hemiptera,Sternorrhyncha,Psylloidea,Psyllidae,Psylla pyricola,Le illustrazioni storiche nel lotto usano il nome Psylla pyricola.,5,"Psilla del pero molto simile a Cacopsylla pyri: ali trasparenti a tetto, lunghe antenne e corpo minuto. | La colorazione dell'adulto è variabile e non è un criterio sicuro da sola. | I caratteri diagnostici più affidabili riguardano morfologia del capo, ala anteriore e terminalia.",Da una fotografia generica non è prudente separare con certezza C. pyricola da specie affini: nell'app le immagini diagnostiche servono proprio a mostrare questo limite.
dysaphis_plantaginea,Dysaphis plantaginea,Dysaphis plantaginea,Afide grigio del melo,Hemiptera,Sternorrhyncha,Aphidoidea,Aphididae,,,1,"Afide opaco, rosa-violaceo o grigio-rosato, spesso ricoperto da una leggera pruina cerosa. | I cornicoli sono scuri; le colonie si nascondono nelle foglie di melo fortemente accartocciate. | L'attacco può accompagnarsi a foglie arrossate e frutti piccoli o deformati.",Il colore rosato-grigiastro e il forte accartocciamento delle foglie di melo sono indizi molto utili in campo.
eriosoma_lanigerum,Eriosoma lanigerum,Eriosoma lanigerum,Afide lanigero del melo,Hemiptera,Sternorrhyncha,Aphidoidea,Aphididae,,,1,"Colonie riconoscibili per l'abbondante secrezione cerosa bianca, dall'aspetto lanoso o cotonoso. | Sotto la cera gli afidi sono bruno-rossastri o violacei. | Le colonie si formano soprattutto su corteccia, ferite, rami e talvolta radici del melo.",La 'lana' cerosa è il carattere visivo più immediato dell'afide lanigero.
halyomorpha_halys,Halyomorpha halys,Halyomorpha halys,Cimice asiatica,Hemiptera,Heteroptera,,Pentatomidae,,,4,"Grande cimice a scudo, bruno-marmorizzata. | Due evidenti fasce chiare sulle antenne e fasciature chiare anche sulle zampe. | Margine dell'addome con alternanza netta di bande chiare e scure; spalle arrotondate, senza spine evidenti.",La combinazione antenne fasciate + margine addominale bicolore è molto caratteristica dell'adulto.
hyalesthes_obsoletus,Hyalesthes obsoletus,Hyalesthes obsoletus,Cixiide vettore del legno nero / stolbur,Hemiptera,Auchenorrhyncha,,Cixiidae,,,2,"Piccola cicalina/cixiide con corpo scuro e ali trasparenti tenute a tetto sul corpo. | Le ali mostrano una venatura molto evidente e danno all'insetto un profilo allungato. | Gli adulti sono saltatori; il contesto tipico comprende convolvolo, ortica e altre piante ospiti associate al vettore del legno nero.",Diverse Cixiidae hanno aspetto molto simile: la determinazione certa di H. obsoletus può richiedere esame morfologico specialistico.
icerya_purchasi,Icerya purchasi,Icerya purchasi,Cocciniglia cotonosa / cocciniglia australiana,Hemiptera,Sternorrhyncha,Coccoidea,Monophlebidae,,,2,"Femmina rosso-aranciata con zampe e antenne scure, parzialmente coperta da cera biancastra. | Produce posteriormente un enorme ovisacco bianco, allungato e profondamente scanalato/fluttuato. | L'ovisacco può essere due o più volte lungo il corpo e rende la specie immediatamente riconoscibile.",Il grande ovisacco bianco scanalato è il carattere più diagnostico sul campo.
myzus_cerasi,Myzus cerasi,Myzus cerasi,Afide nero del ciliegio,Hemiptera,Sternorrhyncha,Aphidoidea,Aphididae,,,2,"Afide lucido, da bruno molto scuro a nero, con corpo relativamente compatto. | Forma colonie dense sulla pagina inferiore delle giovani foglie e sui germogli di ciliegio. | Le foglie infestate si arricciano fortemente; melata e formiche sono frequenti.",Su ciliegio la combinazione colonia nera lucida + foglie fortemente arricciate è molto indicativa.
